QuestionText,AnswerText,Tags
Describe a coat you would wear to festival in autumn.,vintage purple wool coat,"coat,vintage,purple,wool,festival,autumn"
What coat do you wear for dinner in summer?,formal green leather coat,"coat,formal,green,leather,dinner,summer"
What dress do you wear for concert in autumn?,bohemian orange suede dress,"dress,bohemian,orange,suede,concert,autumn"
Describe a dress you would wear to outdoor in winter.,formal brown denim dress,"dress,formal,brown,denim,outdoor,winter"
What hoodie do you wear for travel in autumn?,formal blue polyester hoodie,"hoodie,formal,blue,polyester,travel,autumn"
Which jacket is your choice for interview during autumn?,vintage purple velvet jacket,"jacket,vintage,purple,velvet,interview,autumn"
What's your preferred hoodie for wedding in summer?,vintage purple leather hoodie,"hoodie,vintage,purple,leather,wedding,summer"
What blouse do you wear for indoor in winter?,preppy brown polyester blouse,"blouse,preppy,brown,polyester,indoor,winter"
Describe a blazer you would wear to casual in summer.,formal orange leather blazer,"blazer,formal,orange,leather,casual,summer"
Describe a sandals you would wear to wedding in summer.,bohemian purple silk sandals,"sandals,bohemian,purple,silk,wedding,summer"
Which trousers is your choice for work during summer?,casual yellow denim trousers,"trousers,casual,yellow,denim,work,summer"
Describe a jeans you would wear to indoor in winter.,bohemian orange nylon jeans,"jeans,bohemian,orange,nylon,indoor,winter"
Which coat is your choice for casual during autumn?,streetwear beige suede coat,"coat,streetwear,beige,suede,casual,autumn"
What's your preferred skirt for travel in summer?,preppy beige denim skirt,"skirt,preppy,beige,denim,travel,summer"
Which scarf is your choice for beach during winter?,athleisure black cotton scarf,"scarf,athleisure,black,cotton,beach,winter"
Which bag is your choice for beach during spring?,vintage green leather bag,"bag,vintage,green,leather,beach,spring"
Describe a suit you would wear to work in summer.,formal black denim suit,"suit,formal,black,denim,work,summer"
Describe a suit you would wear to concert in autumn.,preppy green denim suit,"suit,preppy,green,denim,concert,autumn"
What flats do you wear for work in winter?,preppy gray cotton flats,"flats,preppy,gray,cotton,work,winter"
Which shorts is your choice for gym during spring?,vintage pink nylon shorts,"shorts,vintage,pink,nylon,gym,spring"
What belt do you wear for festival in summer?,grunge blue linen belt,"belt,grunge,blue,linen,festival,summer"
Which skirt is your choice for gym during summer?,minimalist black cotton skirt,"skirt,minimalist,black,cotton,gym,summer"
Describe a heels you would wear to casual in autumn.,formal orange denim heels,"heels,formal,orange,denim,casual,autumn"
Which blazer is your choice for casual during spring?,vintage purple velvet blazer,"blazer,vintage,purple,velvet,casual,spring"
What trousers do you wear for festival in spring?,minimalist white nylon trousers,"trousers,minimalist,white,nylon,festival,spring"
Describe a bag you would wear to festival in winter.,preppy beige polyester bag,"bag,preppy,beige,polyester,festival,winter"
Which flats is your choice for concert during winter?,vintage green silk flats,"flats,vintage,green,silk,concert,winter"
Which t-shirt is your choice for dinner during winter?,punk red cotton t-shirt,"t-shirt,punk,red,cotton,dinner,winter"
What's your preferred oxfords for interview in autumn?,bohemian beige denim oxfords,"oxfords,bohemian,beige,denim,interview,autumn"
What suit do you wear for outdoor in winter?,punk green leather suit,"suit,punk,green,leather,outdoor,winter"
Describe a scarf you would wear to party in winter.,grunge pink cotton scarf,"scarf,grunge,pink,cotton,party,winter"
Which jacket is your choice for formal during autumn?,vintage purple velvet jacket,"jacket,vintage,purple,velvet,formal,autumn"
Which bag is your choice for festival during summer?,streetwear blue linen bag,"bag,streetwear,blue,linen,festival,summer"
Which blouse is your choice for gym during summer?,bohemian orange cotton blouse,"blouse,bohemian,orange,cotton,gym,summer"
What sweater do you wear for formal in winter?,grunge green linen sweater,"sweater,grunge,green,linen,formal,winter"
Which sneakers is your choice for formal during autumn?,casual beige velvet sneakers,"sneakers,casual,beige,velvet,formal,autumn"
Describe a skirt you would wear to date night in autumn.,punk red nylon skirt,"skirt,punk,red,nylon,date night,autumn"
What hat do you wear for date night in spring?,vintage beige polyester hat,"hat,vintage,beige,polyester,date night,spring"
What's your preferred bag for outdoor in autumn?,minimalist blue denim bag,"bag,minimalist,blue,denim,outdoor,autumn"
What hat do you wear for concert in spring?,preppy gray nylon hat,"hat,preppy,gray,nylon,concert,spring"
What's your preferred loafers for wedding in summer?,athleisure green wool loafers,"loafers,athleisure,green,wool,wedding,summer"
What trousers do you wear for interview in winter?,formal red silk trousers,"trousers,formal,red,silk,interview,winter"
Which boots is your choice for formal during winter?,bohemian purple velvet boots,"boots,bohemian,purple,velvet,formal,winter"
Which scarf is your choice for concert during summer?,grunge white wool scarf,"scarf,grunge,white,wool,concert,summer"
What skirt do you wear for work in winter?,streetwear gray suede skirt,"skirt,streetwear,gray,suede,work,winter"
What jeans do you wear for formal in spring?,formal orange suede jeans,"jeans,formal,orange,suede,formal,spring"
What loafers do you wear for concert in spring?,streetwear beige polyester loafers,"loafers,streetwear,beige,polyester,concert,spring"
Which blouse is your choice for gym during autumn?,streetwear red cotton blouse,"blouse,streetwear,red,cotton,gym,autumn"
Which skirt is your choice for wedding during autumn?,formal purple nylon skirt,"skirt,formal,purple,nylon,wedding,autumn"
Which jewelry is your choice for party during summer?,athleisure gray polyester jewelry,"jewelry,athleisure,gray,polyester,party,summer"
What's your preferred t-shirt for party in spring?,grunge brown polyester t-shirt,"t-shirt,grunge,brown,polyester,party,spring"
What jewelry do you wear for indoor in spring?,bohemian purple silk jewelry,"jewelry,bohemian,purple,silk,indoor,spring"
What loafers do you wear for beach in spring?,athleisure gray denim loafers,"loafers,athleisure,gray,denim,beach,spring"
Which jewelry is your choice for travel during spring?,streetwear yellow polyester jewelry,"jewelry,streetwear,yellow,polyester,travel,spring"
Describe a coat you would wear to date night in winter.,formal yellow denim coat,"coat,formal,yellow,denim,date night,winter"
Which oxfords is your choice for work during autumn?,grunge red cotton oxfords,"oxfords,grunge,red,cotton,work,autumn"
Which shirt is your choice for outdoor during spring?,preppy blue wool shirt,"shirt,preppy,blue,wool,outdoor,spring"
Describe a jeans you would wear to concert in summer.,formal red suede jeans,"jeans,formal,red,suede,concert,summer"
What's your preferred blouse for formal in summer?,casual purple silk blouse,"blouse,casual,purple,silk,formal,summer"
What's your preferred jacket for concert in spring?,formal orange linen jacket,"jacket,formal,orange,linen,concert,spring"
What's your preferred blazer for party in summer?,minimalist pink cotton blazer,"blazer,minimalist,pink,cotton,party,summer"
What's your preferred skirt for casual in autumn?,formal beige silk skirt,"skirt,formal,beige,silk,casual,autumn"
Which suit is your choice for casual during summer?,bohemian beige suede suit,"suit,bohemian,beige,suede,casual,summer"
Describe a hat you would wear to concert in autumn.,punk red suede hat,"hat,punk,red,suede,concert,autumn"
Which sneakers is your choice for work during autumn?,punk green suede sneakers,"sneakers,punk,green,suede,work,autumn"
What jewelry do you wear for interview in summer?,punk red wool jewelry,"jewelry,punk,red,wool,interview,summer"
Which sneakers is your choice for formal during spring?,casual beige leather sneakers,"sneakers,casual,beige,leather,formal,spring"
Which flats is your choice for interview during spring?,minimalist beige cotton flats,"flats,minimalist,beige,cotton,interview,spring"
Describe a trousers you would wear to indoor in spring.,minimalist pink denim trousers,"trousers,minimalist,pink,denim,indoor,spring"
Which oxfords is your choice for gym during winter?,vintage blue leather oxfords,"oxfords,vintage,blue,leather,gym,winter"
What's your preferred jewelry for wedding in winter?,vintage red suede jewelry,"jewelry,vintage,red,suede,wedding,winter"
Which shorts is your choice for festival during summer?,vintage beige velvet shorts,"shorts,vintage,beige,velvet,festival,summer"
What trousers do you wear for party in winter?,grunge pink suede trousers,"trousers,grunge,pink,suede,party,winter"
Which bag is your choice for beach during winter?,punk beige linen bag,"bag,punk,beige,linen,beach,winter"
Which flats is your choice for concert during winter?,vintage pink nylon flats,"flats,vintage,pink,nylon,concert,winter"
What's your preferred bag for wedding in autumn?,minimalist blue leather bag,"bag,minimalist,blue,leather,wedding,autumn"
What sandals do you wear for party in winter?,minimalist gray suede sandals,"sandals,minimalist,gray,suede,party,winter"
Which jewelry is your choice for wedding during spring?,streetwear purple denim jewelry,"jewelry,streetwear,purple,denim,wedding,spring"
Which blazer is your choice for concert during spring?,streetwear blue cotton blazer,"blazer,streetwear,blue,cotton,concert,spring"
Describe a flats you would wear to formal in autumn.,vintage yellow denim flats,"flats,vintage,yellow,denim,formal,autumn"
Which trousers is your choice for wedding during winter?,casual brown wool trousers,"trousers,casual,brown,wool,wedding,winter"
What jewelry do you wear for festival in winter?,preppy black denim jewelry,"jewelry,preppy,black,denim,festival,winter"
What blazer do you wear for gym in summer?,preppy white polyester blazer,"blazer,preppy,white,polyester,gym,summer"
Which hoodie is your choice for party during autumn?,athleisure yellow leather hoodie,"hoodie,athleisure,yellow,leather,party,autumn"
What slippers do you wear for festival in summer?,vintage white linen slippers,"slippers,vintage,white,linen,festival,summer"
What's your preferred coat for gym in summer?,punk white polyester coat,"coat,punk,white,polyester,gym,summer"
Describe a hoodie you would wear to indoor in spring.,punk pink cotton hoodie,"hoodie,punk,pink,cotton,indoor,spring"
Describe a belt you would wear to wedding in summer.,preppy red denim belt,"belt,preppy,red,denim,wedding,summer"
Describe a hat you would wear to concert in autumn.,vintage white polyester hat,"hat,vintage,white,polyester,concert,autumn"
What sneakers do you wear for festival in summer?,vintage green leather sneakers,"sneakers,vintage,green,leather,festival,summer"
Which jacket is your choice for interview during autumn?,streetwear blue denim jacket,"jacket,streetwear,blue,denim,interview,autumn"
Describe a loafers you would wear to festival in autumn.,formal pink denim loafers,"loafers,formal,pink,denim,festival,autumn"
Describe a sandals you would wear to wedding in autumn.,minimalist pink wool sandals,"sandals,minimalist,pink,wool,wedding,autumn"
What's your preferred jewelry for casual in spring?,vintage green wool jewelry,"jewelry,vintage,green,wool,casual,spring"
What scarf do you wear for interview in summer?,casual green nylon scarf,"scarf,casual,green,nylon,interview,summer"
What's your preferred blouse for indoor in spring?,preppy white wool blouse,"blouse,preppy,white,wool,indoor,spring"
Which jacket is your choice for wedding during autumn?,formal brown denim jacket,"jacket,formal,brown,denim,wedding,autumn"
Describe a pants you would wear to indoor in summer.,streetwear purple leather pants,"pants,streetwear,purple,leather,indoor,summer"
Describe a t-shirt you would wear to gym in autumn.,preppy gray velvet t-shirt,"t-shirt,preppy,gray,velvet,gym,autumn"
What's your preferred loafers for gym in autumn?,formal red suede loafers,"loafers,formal,red,suede,gym,autumn"
What sandals do you wear for outdoor in winter?,preppy pink linen sandals,"sandals,preppy,pink,linen,outdoor,winter"
Which flats is your choice for gym during summer?,vintage beige silk flats,"flats,vintage,beige,silk,gym,summer"
What's your preferred scarf for indoor in winter?,athleisure beige polyester scarf,"scarf,athleisure,beige,polyester,indoor,winter"
What's your preferred skirt for date night in summer?,streetwear brown leather skirt,"skirt,streetwear,brown,leather,date night,summer"
Which heels is your choice for party during summer?,casual white nylon heels,"heels,casual,white,nylon,party,summer"
Which scarf is your choice for casual during autumn?,casual white polyester scarf,"scarf,casual,white,polyester,casual,autumn"
What scarf do you wear for travel in winter?,vintage black wool scarf,"scarf,vintage,black,wool,travel,winter"
Describe a skirt you would wear to gym in winter.,bohemian beige linen skirt,"skirt,bohemian,beige,linen,gym,winter"
Describe a dress you would wear to indoor in spring.,vintage gray silk dress,"dress,vintage,gray,silk,indoor,spring"
What slippers do you wear for party in spring?,athleisure gray silk slippers,"slippers,athleisure,gray,silk,party,spring"
What's your preferred belt for indoor in summer?,formal black denim belt,"belt,formal,black,denim,indoor,summer"
What's your preferred oxfords for work in winter?,athleisure pink polyester oxfords,"oxfords,athleisure,pink,polyester,work,winter"
What's your preferred trousers for casual in spring?,vintage green nylon trousers,"trousers,vintage,green,nylon,casual,spring"
What bag do you wear for outdoor in winter?,grunge pink velvet bag,"bag,grunge,pink,velvet,outdoor,winter"
What's your preferred jeans for outdoor in spring?,streetwear orange denim jeans,"jeans,streetwear,orange,denim,outdoor,spring"
Which blazer is your choice for dinner during summer?,streetwear white nylon blazer,"blazer,streetwear,white,nylon,dinner,summer"
What slippers do you wear for formal in spring?,minimalist brown velvet slippers,"slippers,minimalist,brown,velvet,formal,spring"
Which skirt is your choice for party during winter?,vintage pink nylon skirt,"skirt,vintage,pink,nylon,party,winter"
What's your preferred coat for interview in autumn?,vintage yellow wool coat,"coat,vintage,yellow,wool,interview,autumn"
What loafers do you wear for festival in summer?,preppy gray wool loafers,"loafers,preppy,gray,wool,festival,summer"
What blouse do you wear for casual in winter?,casual green velvet blouse,"blouse,casual,green,velvet,casual,winter"
Describe a jewelry you would wear to casual in winter.,punk green polyester jewelry,"jewelry,punk,green,polyester,casual,winter"
Describe a dress you would wear to wedding in summer.,punk purple cotton dress,"dress,punk,purple,cotton,wedding,summer"
Describe a scarf you would wear to interview in autumn.,bohemian orange leather scarf,"scarf,bohemian,orange,leather,interview,autumn"
What's your preferred sneakers for dinner in summer?,bohemian white suede sneakers,"sneakers,bohemian,white,suede,dinner,summer"
What sweater do you wear for festival in autumn?,streetwear black cotton sweater,"sweater,streetwear,black,cotton,festival,autumn"
What's your preferred blazer for formal in autumn?,minimalist red silk blazer,"blazer,minimalist,red,silk,formal,autumn"
Describe a coat you would wear to indoor in autumn.,punk brown nylon coat,"coat,punk,brown,nylon,indoor,autumn"
Which pants is your choice for dinner during summer?,preppy gray wool pants,"pants,preppy,gray,wool,dinner,summer"
Describe a shorts you would wear to gym in autumn.,formal yellow silk shorts,"shorts,formal,yellow,silk,gym,autumn"
Which boots is your choice for interview during winter?,punk purple silk boots,"boots,punk,purple,silk,interview,winter"
Describe a jewelry you would wear to gym in autumn.,casual white nylon jewelry,"jewelry,casual,white,nylon,gym,autumn"
Describe a shirt you would wear to gym in autumn.,grunge beige suede shirt,"shirt,grunge,beige,suede,gym,autumn"
What sandals do you wear for formal in summer?,bohemian orange leather sandals,"sandals,bohemian,orange,leather,formal,summer"
Describe a dress you would wear to gym in winter.,streetwear white leather dress,"dress,streetwear,white,leather,gym,winter"
Which trousers is your choice for travel during spring?,minimalist beige velvet trousers,"trousers,minimalist,beige,velvet,travel,spring"
Which jeans is your choice for interview during spring?,streetwear blue wool jeans,"jeans,streetwear,blue,wool,interview,spring"
Describe a blouse you would wear to work in spring.,punk gray nylon blouse,"blouse,punk,gray,nylon,work,spring"
What coat do you wear for festival in winter?,grunge brown linen coat,"coat,grunge,brown,linen,festival,winter"
Describe a pants you would wear to outdoor in autumn.,streetwear white suede pants,"pants,streetwear,white,suede,outdoor,autumn"
What's your preferred dress for indoor in autumn?,vintage red denim dress,"dress,vintage,red,denim,indoor,autumn"
What's your preferred skirt for concert in summer?,grunge red denim skirt,"skirt,grunge,red,denim,concert,summer"
What heels do you wear for gym in winter?,formal black wool heels,"heels,formal,black,wool,gym,winter"
What sneakers do you wear for gym in autumn?,preppy black polyester sneakers,"sneakers,preppy,black,polyester,gym,autumn"
Describe a hat you would wear to wedding in autumn.,formal beige wool hat,"hat,formal,beige,wool,wedding,autumn"
What's your preferred dress for dinner in summer?,minimalist beige leather dress,"dress,minimalist,beige,leather,dinner,summer"
What heels do you wear for indoor in spring?,casual pink silk heels,"heels,casual,pink,silk,indoor,spring"
What's your preferred belt for wedding in winter?,preppy green silk belt,"belt,preppy,green,silk,wedding,winter"
Which scarf is your choice for casual during spring?,vintage yellow wool scarf,"scarf,vintage,yellow,wool,casual,spring"
What's your preferred t-shirt for outdoor in summer?,bohemian gray nylon t-shirt,"t-shirt,bohemian,gray,nylon,outdoor,summer"
Which bag is your choice for concert during spring?,vintage purple wool bag,"bag,vintage,purple,wool,concert,spring"
Describe a jeans you would wear to indoor in spring.,punk orange wool jeans,"jeans,punk,orange,wool,indoor,spring"
What belt do you wear for gym in winter?,casual purple denim belt,"belt,casual,purple,denim,gym,winter"
What's your preferred hoodie for formal in winter?,grunge pink silk hoodie,"hoodie,grunge,pink,silk,formal,winter"
Describe a hoodie you would wear to concert in winter.,minimalist brown nylon hoodie,"hoodie,minimalist,brown,nylon,concert,winter"
Which bag is your choice for concert during spring?,preppy black leather bag,"bag,preppy,black,leather,concert,spring"
What t-shirt do you wear for casual in summer?,punk white nylon t-shirt,"t-shirt,punk,white,nylon,casual,summer"
What's your preferred pants for formal in summer?,grunge black velvet pants,"pants,grunge,black,velvet,formal,summer"
Which trousers is your choice for formal during spring?,grunge beige cotton trousers,"trousers,grunge,beige,cotton,formal,spring"
Which loafers is your choice for outdoor during autumn?,grunge purple leather loafers,"loafers,grunge,purple,leather,outdoor,autumn"
Which trousers is your choice for travel during summer?,streetwear purple silk trousers,"trousers,streetwear,purple,silk,travel,summer"
What's your preferred bag for gym in autumn?,punk purple velvet bag,"bag,punk,purple,velvet,gym,autumn"
Describe a jacket you would wear to wedding in winter.,vintage blue silk jacket,"jacket,vintage,blue,silk,wedding,winter"
Which sweater is your choice for beach during summer?,formal orange silk sweater,"sweater,formal,orange,silk,beach,summer"
Which jacket is your choice for outdoor during winter?,vintage beige denim jacket,"jacket,vintage,beige,denim,outdoor,winter"
Describe a trousers you would wear to date night in autumn.,minimalist beige suede trousers,"trousers,minimalist,beige,suede,date night,autumn"
What's your preferred coat for dinner in autumn?,grunge blue linen coat,"coat,grunge,blue,linen,dinner,autumn"
What's your preferred t-shirt for party in spring?,formal brown cotton t-shirt,"t-shirt,formal,brown,cotton,party,spring"
What slippers do you wear for formal in autumn?,punk blue suede slippers,"slippers,punk,blue,suede,formal,autumn"
What's your preferred sweater for indoor in summer?,preppy yellow denim sweater,"sweater,preppy,yellow,denim,indoor,summer"
Describe a boots you would wear to interview in summer.,grunge beige leather boots,"boots,grunge,beige,leather,interview,summer"
What heels do you wear for dinner in spring?,preppy gray cotton heels,"heels,preppy,gray,cotton,dinner,spring"
Which oxfords is your choice for dinner during winter?,punk purple nylon oxfords,"oxfords,punk,purple,nylon,dinner,winter"
What belt do you wear for interview in spring?,formal brown denim belt,"belt,formal,brown,denim,interview,spring"
Which skirt is your choice for festival during winter?,casual beige cotton skirt,"skirt,casual,beige,cotton,festival,winter"
Which sneakers is your choice for party during summer?,vintage beige denim sneakers,"sneakers,vintage,beige,denim,party,summer"
What scarf do you wear for work in autumn?,streetwear purple cotton scarf,"scarf,streetwear,purple,cotton,work,autumn"
What bag do you wear for outdoor in summer?,minimalist gray suede bag,"bag,minimalist,gray,suede,outdoor,summer"
What blazer do you wear for dinner in autumn?,vintage white denim blazer,"blazer,vintage,white,denim,dinner,autumn"
Which dress is your choice for outdoor during summer?,casual red suede dress,"dress,casual,red,suede,outdoor,summer"
Describe a scarf you would wear to interview in autumn.,punk red velvet scarf,"scarf,punk,red,velvet,interview,autumn"
What's your preferred shorts for interview in summer?,grunge brown cotton shorts,"shorts,grunge,brown,cotton,interview,summer"
Describe a dress you would wear to party in autumn.,athleisure beige cotton dress,"dress,athleisure,beige,cotton,party,autumn"
What's your preferred belt for date night in summer?,formal black cotton belt,"belt,formal,black,cotton,date night,summer"
What shirt do you wear for dinner in summer?,casual pink cotton shirt,"shirt,casual,pink,cotton,dinner,summer"
What suit do you wear for date night in spring?,athleisure pink leather suit,"suit,athleisure,pink,leather,date night,spring"
What's your preferred bag for travel in spring?,athleisure gray nylon bag,"bag,athleisure,gray,nylon,travel,spring"
Describe a trousers you would wear to festival in winter.,casual pink nylon trousers,"trousers,casual,pink,nylon,festival,winter"
What blazer do you wear for festival in autumn?,streetwear yellow linen blazer,"blazer,streetwear,yellow,linen,festival,autumn"
Describe a hat you would wear to festival in winter.,minimalist black linen hat,"hat,minimalist,black,linen,festival,winter"
What's your preferred trousers for outdoor in summer?,bohemian black polyester trousers,"trousers,bohemian,black,polyester,outdoor,summer"
Describe a suit you would wear to dinner in winter.,bohemian blue cotton suit,"suit,bohemian,blue,cotton,dinner,winter"
What's your preferred pants for formal in autumn?,athleisure red suede pants,"pants,athleisure,red,suede,formal,autumn"
Describe a jacket you would wear to indoor in autumn.,formal purple wool jacket,"jacket,formal,purple,wool,indoor,autumn"
Which blazer is your choice for dinner during winter?,athleisure purple linen blazer,"blazer,athleisure,purple,linen,dinner,winter"
Which t-shirt is your choice for dinner during summer?,casual brown suede t-shirt,"t-shirt,casual,brown,suede,dinner,summer"
Describe a sweater you would wear to festival in winter.,vintage gray suede sweater,"sweater,vintage,gray,suede,festival,winter"
What scarf do you wear for work in autumn?,athleisure white nylon scarf,"scarf,athleisure,white,nylon,work,autumn"
Which pants is your choice for festival during autumn?,casual yellow wool pants,"pants,casual,yellow,wool,festival,autumn"
What's your preferred t-shirt for concert in autumn?,athleisure black leather t-shirt,"t-shirt,athleisure,black,leather,concert,autumn"
What's your preferred pants for beach in winter?,bohemian purple suede pants,"pants,bohemian,purple,suede,beach,winter"
What's your preferred shorts for outdoor in autumn?,minimalist white polyester shorts,"shorts,minimalist,white,polyester,outdoor,autumn"
What shirt do you wear for gym in winter?,casual orange cotton shirt,"shirt,casual,orange,cotton,gym,winter"
Which scarf is your choice for wedding during winter?,streetwear green nylon scarf,"scarf,streetwear,green,nylon,wedding,winter"
Which hat is your choice for outdoor during autumn?,bohemian blue suede hat,"hat,bohemian,blue,suede,outdoor,autumn"
What's your preferred loafers for interview in autumn?,punk white suede loafers,"loafers,punk,white,suede,interview,autumn"
Which dress is your choice for interview during autumn?,punk black linen dress,"dress,punk,black,linen,interview,autumn"
What's your preferred shirt for gym in spring?,preppy yellow leather shirt,"shirt,preppy,yellow,leather,gym,spring"
What's your preferred t-shirt for wedding in autumn?,casual green leather t-shirt,"t-shirt,casual,green,leather,wedding,autumn"
What blouse do you wear for casual in summer?,punk pink silk blouse,"blouse,punk,pink,silk,casual,summer"
What's your preferred coat for formal in winter?,bohemian pink linen coat,"coat,bohemian,pink,linen,formal,winter"
Which sneakers is your choice for work during winter?,bohemian yellow nylon sneakers,"sneakers,bohemian,yellow,nylon,work,winter"
Which sweater is your choice for date night during summer?,preppy beige polyester sweater,"sweater,preppy,beige,polyester,date night,summer"
What suit do you wear for festival in winter?,casual yellow linen suit,"suit,casual,yellow,linen,festival,winter"
Which blouse is your choice for gym during autumn?,grunge pink silk blouse,"blouse,grunge,pink,silk,gym,autumn"
Describe a flats you would wear to concert in autumn.,grunge brown polyester flats,"flats,grunge,brown,polyester,concert,autumn"
What's your preferred sweater for date night in spring?,preppy blue leather sweater,"sweater,preppy,blue,leather,date night,spring"
What's your preferred hat for gym in summer?,preppy red silk hat,"hat,preppy,red,silk,gym,summer"
Which jacket is your choice for party during summer?,preppy white silk jacket,"jacket,preppy,white,silk,party,summer"
What's your preferred suit for beach in autumn?,minimalist purple cotton suit,"suit,minimalist,purple,cotton,beach,autumn"
What's your preferred hoodie for beach in summer?,casual orange cotton hoodie,"hoodie,casual,orange,cotton,beach,summer"
Which sweater is your choice for work during autumn?,bohemian pink cotton sweater,"sweater,bohemian,pink,cotton,work,autumn"
What scarf do you wear for festival in winter?,punk brown cotton scarf,"scarf,punk,brown,cotton,festival,winter"
Which flats is your choice for gym during summer?,vintage pink denim flats,"flats,vintage,pink,denim,gym,summer"
Describe a blazer you would wear to casual in summer.,formal purple suede blazer,"blazer,formal,purple,suede,casual,summer"
What blouse do you wear for work in summer?,punk gray nylon blouse,"blouse,punk,gray,nylon,work,summer"
Which jeans is your choice for work during winter?,streetwear blue silk jeans,"jeans,streetwear,blue,silk,work,winter"
What's your preferred trousers for casual in autumn?,minimalist red nylon trousers,"trousers,minimalist,red,nylon,casual,autumn"
What's your preferred skirt for outdoor in autumn?,vintage orange denim skirt,"skirt,vintage,orange,denim,outdoor,autumn"
What's your preferred hoodie for travel in spring?,grunge brown silk hoodie,"hoodie,grunge,brown,silk,travel,spring"
Which sandals is your choice for festival during summer?,athleisure purple velvet sandals,"sandals,athleisure,purple,velvet,festival,summer"
Describe a heels you would wear to casual in autumn.,formal red linen heels,"heels,formal,red,linen,casual,autumn"
What's your preferred jeans for party in autumn?,punk orange linen jeans,"jeans,punk,orange,linen,party,autumn"
Which dress is your choice for interview during summer?,minimalist beige leather dress,"dress,minimalist,beige,leather,interview,summer"
Which flats is your choice for beach during autumn?,formal beige leather flats,"flats,formal,beige,leather,beach,autumn"
What belt do you wear for indoor in winter?,minimalist green cotton belt,"belt,minimalist,green,cotton,indoor,winter"
What's your preferred trousers for interview in autumn?,punk gray cotton trousers,"trousers,punk,gray,cotton,interview,autumn"
Describe a boots you would wear to dinner in winter.,streetwear orange denim boots,"boots,streetwear,orange,denim,dinner,winter"
What's your preferred shorts for formal in summer?,vintage blue cotton shorts,"shorts,vintage,blue,cotton,formal,summer"
Which boots is your choice for concert during winter?,casual purple silk boots,"boots,casual,purple,silk,concert,winter"
What jeans do you wear for festival in summer?,grunge brown denim jeans,"jeans,grunge,brown,denim,festival,summer"
What's your preferred bag for beach in summer?,vintage black velvet bag,"bag,vintage,black,velvet,beach,summer"
What's your preferred slippers for outdoor in spring?,streetwear red polyester slippers,"slippers,streetwear,red,polyester,outdoor,spring"
Which slippers is your choice for wedding during winter?,athleisure black suede slippers,"slippers,athleisure,black,suede,wedding,winter"
What sneakers do you wear for interview in spring?,punk purple velvet sneakers,"sneakers,punk,purple,velvet,interview,spring"
Which jeans is your choice for festival during winter?,casual green suede jeans,"jeans,casual,green,suede,festival,winter"
What hat do you wear for concert in winter?,athleisure white polyester hat,"hat,athleisure,white,polyester,concert,winter"
What's your preferred shirt for indoor in summer?,grunge yellow polyester shirt,"shirt,grunge,yellow,polyester,indoor,summer"
What sweater do you wear for formal in spring?,casual pink velvet sweater,"sweater,casual,pink,velvet,formal,spring"
What sweater do you wear for formal in winter?,punk black linen sweater,"sweater,punk,black,linen,formal,winter"
